Country,Date,Vaccine,Total Vaccinations
Czechia,2021-06,Johnson&Johnson,2143806
Czechia,2021-06,Moderna,18447370
Czechia,2021-06,Oxford/AstraZeneca,19828532
Czechia,2021-06,Pfizer/BioNTech,167013968
Czechia,2021-07,Johnson&Johnson,3467237
Czechia,2021-07,Moderna,24962346
Czechia,2021-07,Oxford/AstraZeneca,25154108
Czechia,2021-07,Pfizer/BioNTech,239397990
Czechia,2021-08,Johnson&Johnson,5488795
Czechia,2021-08,Moderna,27428439
Czechia,2021-08,Oxford/AstraZeneca,27191237
Czechia,2021-08,Pfizer/BioNTech,282437236
Czechia,2021-09,Johnson&Johnson,6681513
Czechia,2021-09,Moderna,27463830
Czechia,2021-09,Oxford/AstraZeneca,26562621
Czechia,2021-09,Pfizer/BioNTech,290805877
Czechia,2021-10,Johnson&Johnson,7879187
Czechia,2021-10,Moderna,29084807
Czechia,2021-10,Oxford/AstraZeneca,26589239
Czechia,2021-10,Pfizer/BioNTech,308430989
Czechia,2021-11,Johnson&Johnson,10318617
Czechia,2021-11,Moderna,30541463
Czechia,2021-11,Oxford/AstraZeneca,25714240
Czechia,2021-11,Pfizer/BioNTech,320010465
Czechia,2021-12,Johnson&Johnson,11663844
Czechia,2021-12,Moderna,38290498
Czechia,2021-12,Oxford/AstraZeneca,21285002
Czechia,2021-12,Pfizer/BioNTech,377002192
Czechia,2022-01,Johnson&Johnson,12687029
Czechia,2022-01,Moderna,45209361
Czechia,2022-01,Pfizer/BioNTech,423620153
Czechia,2022-01,Oxford/AstraZeneca,21288901
Czechia,2022-02,Johnson&Johnson,11531203
Czechia,2022-02,Moderna,43726704
Czechia,2022-02,Pfizer/BioNTech,403712958
Czechia,2022-02,Oxford/AstraZeneca,2661370
Czechia,2022-03,Johnson&Johnson,10310761
Czechia,2022-03,Moderna,45825451
Czechia,2022-03,Pfizer/BioNTech,422459838
Czechia,2022-03,Novavax,41996
Czechia,2022-03,Oxford/AstraZeneca,887126
Denmark,2020-12,Pfizer/BioNTech,9
Denmark,2021-01,Moderna,6275
Denmark,2021-01,Pfizer/BioNTech,695480
Denmark,2021-01,Johnson&Johnson,15
Denmark,2021-01,Oxford/AstraZeneca,28
Denmark,2021-02,Johnson&Johnson,15
Denmark,2021-02,Moderna,46396
Denmark,2021-02,Oxford/AstraZeneca,142081
Denmark,2021-02,Pfizer/BioNTech,1517508
Denmark,2021-03,Johnson&Johnson,243
Denmark,2021-03,Moderna,159093
Denmark,2021-03,Oxford/AstraZeneca,587091
Denmark,2021-03,Pfizer/BioNTech,2649068
Denmark,2021-04,Johnson&Johnson,1574
Denmark,2021-04,Moderna,552742
Denmark,2021-04,Oxford/AstraZeneca,759260
Denmark,2021-04,Pfizer/BioNTech,6303095
Denmark,2021-05,Johnson&Johnson,3362
Denmark,2021-05,Moderna,966288
Denmark,2021-05,Oxford/AstraZeneca,610432
Denmark,2021-05,Pfizer/BioNTech,9658632
Denmark,2021-06,Johnson&Johnson,124316
Denmark,2021-06,Moderna,1502525
Denmark,2021-06,Oxford/AstraZeneca,614523
Denmark,2021-06,Pfizer/BioNTech,14994264
Denmark,2021-07,Johnson&Johnson,228718
Denmark,2021-07,Moderna,3181367
Denmark,2021-07,Oxford/AstraZeneca,772004
Denmark,2021-07,Pfizer/BioNTech,27231314
Denmark,2021-08,Johnson&Johnson,185714
Denmark,2021-08,Moderna,3880531
Denmark,2021-08,Oxford/AstraZeneca,619527
Denmark,2021-08,Pfizer/BioNTech,26335696
Denmark,2021-09,Johnson&Johnson,186303
Denmark,2021-09,Moderna,4446404
Denmark,2021-09,Oxford/AstraZeneca,620400
Denmark,2021-09,Pfizer/BioNTech,27433314
Denmark,2021-10,Johnson&Johnson,233239
Denmark,2021-10,Moderna,5790257
Denmark,2021-10,Oxford/AstraZeneca,776168
Denmark,2021-10,Pfizer/BioNTech,35206431
Denmark,2021-11,Johnson&Johnson,186905
Denmark,2021-11,Moderna,4907320
Denmark,2021-11,Oxford/AstraZeneca,621434
Denmark,2021-11,Pfizer/BioNTech,29731266
Denmark,2021-12,Johnson&Johnson,234208
Denmark,2021-12,Moderna,6955680
Denmark,2021-12,Oxford/AstraZeneca,777644
Denmark,2021-12,Pfizer/BioNTech,43752713
Denmark,2022-01,Johnson&Johnson,187580
Denmark,2022-01,Moderna,6524959
Denmark,2022-01,Oxford/AstraZeneca,622667
Denmark,2022-01,Pfizer/BioNTech,40163320
Denmark,2022-02,Johnson&Johnson,187651
Denmark,2022-02,Moderna,6776479
Denmark,2022-02,Oxford/AstraZeneca,622739
Denmark,2022-02,Pfizer/BioNTech,40906454
Denmark,2022-03,Johnson&Johnson,187720
Denmark,2022-03,Moderna,6826257
Denmark,2022-03,Oxford/AstraZeneca,155689
Denmark,2022-03,Pfizer/BioNTech,41020209
Estonia,2021-01,Pfizer/BioNTech,95124
Estonia,2021-01,Moderna,1251
Estonia,2021-02,Moderna,9368
Estonia,2021-02,Pfizer/BioNTech,292957
Estonia,2021-02,Oxford/AstraZeneca,28531
Estonia,2021-03,Moderna,41327
Estonia,2021-03,Oxford/AstraZeneca,270389
Estonia,2021-03,Pfizer/BioNTech,524045
Estonia,2021-04,Moderna,133700
Estonia,2021-04,Oxford/AstraZeneca,642527
Estonia,2021-04,Pfizer/BioNTech,1148927
Estonia,2021-04,Johnson&Johnson,35
Estonia,2021-05,Johnson&Johnson,18455
Estonia,2021-05,Moderna,210535
Estonia,2021-05,Oxford/AstraZeneca,710764
Estonia,2021-05,Pfizer/BioNTech,1581209
Estonia,2021-06,Johnson&Johnson,71026
Estonia,2021-06,Moderna,327391
Estonia,2021-06,Oxford/AstraZeneca,842610
